epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,794.556,0.97598,0.61067,0.86457,0.76472,0.14453,0.21787,0.12415,1.20182,2.54733,0.73733,0.000391072,0.000391072,0.000391072
146,799.897,1.13591,0.66329,0.88428,0.54746,0.14638,0.21285,0.11759,1.22096,2.59665,0.74235,0.000386073,0.000386073,0.000386073
147,805.201,0.89793,0.56367,0.87345,0.53015,0.14221,0.19417,0.11189,1.21588,2.55243,0.7361,0.000381073,0.000381073,0.000381073
148,810.527,1.05522,0.66222,0.89638,0.31075,0.13256,0.19248,0.10722,1.22004,2.52794,0.7308,0.000376074,0.000376074,0.000376074
149,815.84,0.97207,0.57889,0.84241,0.3084,0.14882,0.18634,0.10651,1.21763,2.48525,0.72807,0.000371074,0.000371074,0.000371074
150,821.156,1.06192,0.65165,0.90794,0.31075,0.14545,0.18087,0.10547,1.23827,2.50025,0.73471,0.000366075,0.000366075,0.000366075
151,826.481,0.98663,0.59656,0.86001,0.73866,0.15459,0.18642,0.10225,1.26761,2.41959,0.74291,0.000361075,0.000361075,0.000361075
152,831.787,1.00984,0.62116,0.84978,0.51749,0.16143,0.18518,0.10194,1.27016,2.37427,0.73982,0.000356076,0.000356076,0.000356076
153,837.09,1.14653,0.6506,0.85385,0.75188,0.15742,0.19797,0.10871,1.25041,2.40177,0.73296,0.000351076,0.000351076,0.000351076
154,842.427,1.03148,0.66524,0.86446,0.76535,0.15136,0.20336,0.10791,1.24898,2.54458,0.73266,0.000346077,0.000346077,0.000346077
155,847.735,0.99603,0.57742,0.89105,0.81507,0.14187,0.21313,0.11221,1.25492,2.70661,0.73484,0.000341077,0.000341077,0.000341077
156,853.052,0.98375,0.60168,0.84522,0.89291,0.14187,0.22386,0.11551,1.25868,2.79802,0.74235,0.000336078,0.000336078,0.000336078
157,858.384,1.03949,0.61784,0.86547,0.89562,0.13163,0.22806,0.11715,1.25481,2.90362,0.74199,0.000331078,0.000331078,0.000331078
158,863.72,0.97606,0.65914,0.9017,0.88329,0.13491,0.23115,0.12058,1.24581,2.92753,0.74087,0.000326078,0.000326078,0.000326078
159,869.025,1.05901,0.61243,0.8775,0.88998,0.12711,0.2339,0.1246,1.22851,2.87864,0.74077,0.000321079,0.000321079,0.000321079
160,874.357,0.92343,0.62919,0.83562,0.91045,0.13293,0.23005,0.11975,1.23167,2.86731,0.74156,0.000316079,0.000316079,0.000316079
161,879.67,1.00203,0.64217,0.83777,0.87433,0.13318,0.22704,0.11966,1.21944,2.84883,0.73495,0.00031108,0.00031108,0.00031108
162,885.002,1.0199,0.5605,0.86884,0.86994,0.13318,0.22529,0.11708,1.20098,2.78893,0.72914,0.00030608,0.00030608,0.00030608
