epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,933.853,1.17468,0.65214,0.88193,0.56,0.53844,0.61109,0.34417,1.47872,1.46321,0.99047,0.000586052,0.000586052,0.000586052
107,942.612,1.21754,0.65111,0.88674,0.72357,0.53327,0.6032,0.35276,1.4981,1.40647,0.98856,0.000581053,0.000581053,0.000581053
108,951.383,1.14625,0.64575,0.87619,0.74852,0.59636,0.66538,0.36311,1.59536,1.49686,1.0131,0.000576053,0.000576053,0.000576053
109,960.138,1.2466,0.66097,0.8848,0.55585,0.6759,0.67528,0.39123,1.53833,1.32236,0.99234,0.000571054,0.000571054,0.000571054
110,968.897,1.18058,0.65277,0.86909,0.61372,0.6049,0.65044,0.36509,1.45627,1.35566,0.98724,0.000566054,0.000566054,0.000566054
111,977.678,1.1584,0.67199,0.86563,0.68952,0.51056,0.59193,0.33624,1.51183,1.59905,1.00537,0.000561055,0.000561055,0.000561055
112,986.453,1.19617,0.65083,0.8674,0.59548,0.63822,0.6253,0.34736,1.52883,1.53026,0.98971,0.000556055,0.000556055,0.000556055
113,995.398,1.16044,0.63322,0.88773,0.62248,0.5063,0.57809,0.31357,1.57192,1.69691,1.01352,0.000551056,0.000551056,0.000551056
114,1004.2,1.12834,0.61993,0.88518,0.83206,0.50383,0.59345,0.339,1.53563,1.59359,1.00624,0.000546057,0.000546057,0.000546057
115,1013.06,1.12526,0.6009,0.87231,0.85177,0.54415,0.59908,0.33781,1.46326,1.59652,1.01695,0.000541057,0.000541057,0.000541057
116,1021.88,1.08209,0.61314,0.88389,0.55901,0.65632,0.60004,0.31086,1.53005,1.66255,1.03459,0.000536058,0.000536058,0.000536058
117,1030.64,1.18497,0.62352,0.8594,0.52405,0.6459,0.57592,0.3005,1.55363,1.84997,1.0347,0.000531058,0.000531058,0.000531058
118,1039.57,1.1614,0.64909,0.87825,0.4709,0.58051,0.48442,0.26878,1.53757,1.96733,1.04155,0.000526058,0.000526058,0.000526058
119,1048.32,1.08674,0.60106,0.87889,0.58565,0.58677,0.54154,0.302,1.54708,1.94794,1.03255,0.000521059,0.000521059,0.000521059
120,1057.14,1.11372,0.59199,0.8544,0.6797,0.52559,0.56994,0.31967,1.56014,1.85695,1.00464,0.000516059,0.000516059,0.000516059
121,1065.89,1.15883,0.62454,0.88728,0.61707,0.6334,0.62544,0.33073,1.52014,1.7294,0.98115,0.00051106,0.00051106,0.00051106
122,1074.68,1.12201,0.61087,0.86754,0.55071,0.50524,0.56811,0.33473,1.51832,1.68968,0.99398,0.00050606,0.00050606,0.00050606
123,1083.44,1.13607,0.62049,0.8493,0.58261,0.49789,0.5553,0.31361,1.57119,1.75971,1.0172,0.000501061,0.000501061,0.000501061
124,1092.2,1.17873,0.60705,0.86875,0.7921,0.45348,0.52228,0.3059,1.55064,1.87358,1.04443,0.000496061,0.000496061,0.000496061
125,1101.01,1.20657,0.67477,0.87434,0.53582,0.50974,0.52925,0.34188,1.46997,1.76498,1.03099,0.000491062,0.000491062,0.000491062
126,1109.77,1.05963,0.57826,0.86747,0.58351,0.60118,0.62009,0.38404,1.40726,1.56514,0.99137,0.000486063,0.000486063,0.000486063
127,1118.53,1.05263,0.5949,0.8657,0.73872,0.57142,0.63036,0.37517,1.40516,1.52797,0.99405,0.000481063,0.000481063,0.000481063
128,1127.3,1.08372,0.58206,0.85933,0.7324,0.62374,0.63773,0.33093,1.48359,1.59625,1.02503,0.000476063,0.000476063,0.000476063
129,1136.25,1.12575,0.59873,0.84664,0.56861,0.52029,0.57965,0.34139,1.56156,1.76227,1.0465,0.000471064,0.000471064,0.000471064
130,1145.04,1.07642,0.59571,0.84727,0.87589,0.45345,0.53891,0.30889,1.6444,2.06405,1.06425,0.000466064,0.000466064,0.000466064
131,1153.8,1.03382,0.57254,0.87181,0.86386,0.4536,0.50483,0.30613,1.62036,2.13546,1.04719,0.000461065,0.000461065,0.000461065
132,1162.56,1.03284,0.57168,0.8702,0.61467,0.44353,0.50371,0.31471,1.5604,1.82668,1.00846,0.000456065,0.000456065,0.000456065
133,1171.34,1.01488,0.56043,0.8695,0.57709,0.61397,0.59031,0.34426,1.53599,1.72551,1.02453,0.000451066,0.000451066,0.000451066
134,1180.09,1.09205,0.58263,0.85796,0.51101,0.63923,0.59955,0.35635,1.53205,1.59951,1.02984,0.000446066,0.000446066,0.000446066
135,1188.86,1.11036,0.59288,0.85474,0.65617,0.6459,0.61662,0.34483,1.60103,1.63585,1.03834,0.000441067,0.000441067,0.000441067
136,1197.65,1.01212,0.55935,0.85394,0.60746,0.7259,0.65522,0.38058,1.5368,1.50904,1.02189,0.000436067,0.000436067,0.000436067
137,1206.43,1.06249,0.58677,0.86665,0.90435,0.57658,0.64194,0.35928,1.50194,1.46112,0.99624,0.000431068,0.000431068,0.000431068
138,1215.18,1.04658,0.54481,0.8512,0.77736,0.62385,0.56832,0.34063,1.49728,1.43663,0.99052,0.000426068,0.000426068,0.000426068
139,1223.97,1.03089,0.55676,0.88296,0.79085,0.61923,0.59081,0.33951,1.51064,1.47733,0.99295,0.000421069,0.000421069,0.000421069
140,1232.74,0.99818,0.54131,0.86221,0.62725,0.67869,0.61357,0.33411,1.59066,1.61632,1.01563,0.00041607,0.00041607,0.00041607
141,1241.5,0.9889,0.53583,0.83271,0.66529,0.63503,0.62684,0.34297,1.58446,1.43422,1.00135,0.00041107,0.00041107,0.00041107
142,1250.3,0.97388,0.53837,0.83821,0.56402,0.7059,0.66123,0.36577,1.55227,1.47113,1.00279,0.000406071,0.000406071,0.000406071
143,1259.07,0.98319,0.53612,0.8379,0.56908,0.7059,0.65579,0.3619,1.52971,1.49517,0.99978,0.000401071,0.000401071,0.000401071
144,1267.86,1.03229,0.5508,0.84789,0.61234,0.7059,0.66152,0.34965,1.49754,1.6203,1.00685,0.000396072,0.000396072,0.000396072
145,1276.83,1.03036,0.55988,0.84513,0.6405,0.77003,0.66548,0.35798,1.48296,1.54835,1.00944,0.000391072,0.000391072,0.000391072
146,1285.59,1.01238,0.54265,0.84818,0.73337,0.67718,0.74001,0.36753,1.60906,1.6167,1.03174,0.000386073,0.000386073,0.000386073
147,1294.35,0.97483,0.52735,0.85741,0.53619,0.6859,0.63365,0.32932,1.61638,1.77286,1.0431,0.000381073,0.000381073,0.000381073
148,1303.12,1.00386,0.53576,0.85795,0.65486,0.6659,0.63172,0.30839,1.59888,1.8715,1.04615,0.000376074,0.000376074,0.000376074
149,1311.87,0.9562,0.54175,0.84846,0.61311,0.6659,0.61769,0.30617,1.58829,1.83806,1.03958,0.000371074,0.000371074,0.000371074
150,1320.61,0.97184,0.54801,0.84344,0.61767,0.66209,0.59366,0.31635,1.55405,1.78814,1.00708,0.000366075,0.000366075,0.000366075
151,1329.36,0.97343,0.54902,0.87439,0.6003,0.7259,0.6476,0.32761,1.52904,1.66089,0.99466,0.000361075,0.000361075,0.000361075
